from;to
doangtweet;doang tweet
doctweet;doc tweet
documentasi;dokumentasi
documents;dokumen
docxgif;docx gif
docxsekjen;docx sekjen
docxtweet;docx tweet
does;tidak
doesn;tidak
doesnt;tidak
doesntwork;tidak bekerja
dohar;xyz
doi;pacar
dok;dokter
dokdes;dokter bedah kesehatan
dollar;dolar
dolok;dulu
dolor;saudara
dom;domain
domayn;domain
dome;kubah
domokrad;demokrat
don;selesai
donate;donasi
done;selesai
dongg;dong
dongkrang;dongkrak
dongtweet;dong tweet
donk;dong
donlod;unduh
dont;jangan
doong;dong
dos;xyz
dosenya;dosen
dosoen;dusun
dot;xyz
double;dobel
down;jatuh
downloads;download
doyan;suka
dp;uang muka
dpahami;paham
dpat;dapat
dpd;dewan perwakilan daerah
dpimpin;pimpin
dpn;depan
dpp;dewan pimpinan pusat
dpr;dewan perwakilan rakyat
dpra;dewan perwakilan rakyat aceh
dprafoto;foto
dprberikut;dewan perwakilan rakyat berikut
dprd;dewan perwakilan rakyat daerah
dpri;dewan perwakilan rakyat indonesia
dprk;dewan perwakilan rakyat kabupaten
dprkd;dewan pengkhianat rakyat keturunan dajal
dprlukan;perlu
dprnya;dewan perwakilan rakyat
dpromnibus;dewan perwakilan rakyat omnibus
dprpengkhianatrakyat;dewan perwakilan rakyat pengkhiatan rakyat
dprri;dewan perwakilan rakyat republik indonesia
dprternyata;dewan perwakilan rakyat ternyata
dprtweet;dewan perwakilan rakyat tweet
dpruu;dewan perwakilan rakyat rancangan undang undang
dpt;dapat
dptin;dapat
dptkah;dapat
dpuspita;puspita
dpw;xyz
dr;dari
dradjad;derajat
draff;draf
drafpks;draf pks
draft;draf
drafting;draf
draftna;draf
draftnya;draf
drakor;drama korea
draw;seri
drfting;melayang
dri;dari
drimana;dari mana
dripada;daripada
drive;draf
driven;draf
drivenya;draf
driveruu;draf rancangan undang undang
drmedia;dari media
drop;turun
drp;daripada
drpd;daripada
drpda;daripada
drufnya;draf
drumah;rumah
drun;xyz
dsbnya;dan sebagainya
dsiarin;siar
dsinathrya;xyz
dsitu;situ
dsmo;demo
dsn;dan
dsr;dasar
dst;dan seterusnya
dtangkap;tangkap
dtanya;tanya
dtg;datang
du;xyz
dudah;duda
dude;bung
dudu;bukan
due;punya
duh;aduh
duik;duit
dukugn;dukung
dulang;ulang
duli;dulu
duluan;dulu
duludraf;dulu draf
duluin;dulu
dulunya;dulu
dulur;saudara
dulusebelum;dulu sebelum
duluu;dulu
dumb;bodoh
dumdum;xyz
duni;dunia
duniaruu;dunia rancangan undang undang
dunk;xyz
dunyo;dunia
dur;xyz
during;selama
durong;belum
durung;belum
dusin;dusun
duuh;aduh
duwek;punya
duwit;duit
duwitnya;duit
dw;sendiri
dying;sekarat
dzolimi;zalim
dzuhur;zuhur
eaa;xyz
each;xyz
ealah;rupanya
eang;yang
ease;meredakan
ebt;energi baru terbarukan
ecojustice;keadilan lingkungan
economic;ekonomi
economics;ekonomi
economiczone;zona ekonomi
economy;ekonomi
ecosystem;ekosistem
ed;xyz
ediannn;edan
edited;edit
editing;edit
editingdpr;edit dewan perwakilan rakyat
edition;edisi
educate;mendidik
educated;berpendidikan
ee;tahi
eehh;xyz
efektifitas;efektivitas
efesiensi;efisiensi
effect;efek
effesiensi;efisiensi
eg;xyz
egoiss;egois
eh;xyz
ehe;xyz
ehehehehe;xyz
ehh;xyz
ehm;xyz
eits;xyz
eitss;xyz
ek;xyz
ekbis;ekonomi bisnis
ekonom;ekonomi
ekonomi;ekonomi
ekonomiakademisi;ekonomi akademisi
ekonumi;ekonomi
ekpose;ekspose
ekrut;rekrut
eksekutis;eksekutif
eksisting;mengeksekusi
ekskul;ekstrakurikuler
el;xyz
election;pemilihan
element;elemen
elit;elite
elitnya;elite
elo;kamu
else;lain
elu;kamu
emak;ibu
emaknya;ibu
embuh;entah
emerintah;pemerintah
emg;emang
emma;ibu
emng;emang
emosiiidari;emosi dari
emotionaly;emotikon
empettt;empat
empire;kekaisaran
empowering;memberdayakan
emyu;manchester united
enactment;berlakunya
end;akhir
endi;mana
ending;akhir
endingnya;akhir
eneg;enek
engga;tidak
enggak;tidak
engganya;enggan
ent;xyz
entahlahh;entah
ente;kamu
enter;masuk
enters;masuk
entertainment;hiburan
entrepreneurs;pengusaha
entrepreneurship;kewiraswastaan
entuk;dapat
ep;episode
epic;epik
eprihal;perihal
eps;episode
er;xyz
ercaya;percaya
erjadi;terjadi
erupt;erupsi
esahkan;sah
escalated;meningkat
escort;pengawal
esdm;sdm
esema;sma
esemka;smk
esjewe;pejuang keadilan sosial
especially;terutama
estate;tanah
eta;itu
etapi;tetapi
etc;dan lain lain
etdah;buset
ethics;etika
eug;saya
euy;xyz
even;acara
events;acara
everlasting;kekal
everyone;semua orang
everything;segala sesuatu
ex;xyz
excavator;penggali
excited;bergairah
exclude;mengecualikan
exe;xyz
exist;ada
exol;xyz
explaining;menjelaskan
explanations;penjelasan
exploit;mengeksploitasi
exploitasi;eksploitasi
expose;membuka
expressed;menyatakan
extra;ekstra
eyar;xyz
eyor;xyz
fa;xyz
facilities;fasilitas
facing;menghadapi
fact;fakta
facts;fakta
fadjroeltweet;fadjroel tweet
faham;paham
fahamkan;paham
failing;gagal
fair;adil
fakeas;palsu
fakfak;fuck fuck
faktanyapresiden;fakta presiden
fals;salah
family;keluarga
fams;keluarga
fancy;mewah
fasiltas;fasilitas
fasilum;fasilitas umum
fasum;fasilitas umum
fasumnya;fasilitas umum
fata;fatal
fatal;fatal
fb;facebook
fcking;berengsek
fdi;Investasi asing langsung
fds;Sesi Pengembangan Keluarga
fe;xyz
feat;prestasi
feb;februari
febuari;februari
feednya;feed
feels;feel
feelsnya;feel
fellas;sobat
fence;xyz
feng;xyz
ff;xyz
fgd;diskusi terfokus
fh;fakultas hukum
fhui;fakultas hukum universitas indonesia
fight;pertarungan
fighter;pejuang
fighting;perkelahian
figure;figur
fiixxx;pasti
fikiran;pikir
filenya;file
filesize;file
filing;perasaan
filipino;filipina
fill;isi
finalbaleg;final benar
finalbanget;final banget
finaldraf;final draf
finalfixoke;final pasti oke
finalisasikan;final
finalize;final
finance;keuangan
find;cari
finish;selesai
fire;api
first;pertama
fisip;fakultas ilmu sosial dan poilitik
fix;pasti
fixbangetfinal;pasti banget final
fixbangetsah;pasti banget sah
fixbgt;pasti banget
fixed;pasti
fixedd;pasti
fixfinal;pasti
fixie;fiksi
fixindonesia;pasti indonesia
fixmakassar;pasti makassar
fixx;pasti
fixxx;pasti
fixxxtweet;pasti tweet
fk;fakultas
fkg;fakultas kedokteran gigi
fkta;fakta
fle;file
flv;xyz
fm;xyz
fmipa;fakultas matematika dan ilmu pengetahuan alam
foini;Kebebasan Jaringan Informasi Indonesia
fok;fokus
fokusbanyumas;fokus banyumas
followernya;follower
followersnya;follower
followingan;follow
follows;follow
food;makan
for;untuk
forbid;melarang
force;memaksa
foreign;asing
forests;hutan
forever;selalu
forkopimda;forum koordinasi pimpinan daerah
form;formulir
formappi;forum masyarakat peduli parlemen indonesia
formil;formal
formula;formula
fortnite;xyz
forward;meneruskan
fox;xyz
fp;foto profil
fpb;forum peduli buruh
fpd;fraksi partai demokrat
fpi;front pembela islam
fpks;fraksi partai keadilan sejahtera
fpr;front pembela rakyat
fptk;fakultas pendidikan teknologi dan kejuruan
fraction;fraksi
fray;keributan
freedomof;freedom
fress;fresh
friends;teman
from;dari
fuck;fuck
fucked;fuck
fucking;fuck
fueling;pengisian bahan bakar
fui;forum utama indonesia
fullnya;full
further;lebih lanjut
future;masa depan
fwords;words
fyi;untuk informasi anda
fyiuuh;xyz
fyp;untuk halaman anda
fypku;untuk halaman anda
ga;tidak
gaa;tidak 
gaada;tidak ada
gaadak;tidak ada
gaakan;tidak akan
gabaca;tidak baca
gabakal;tidak bakal
gabecus;tidak becus
gabelajar;tidak belajar
gaberani;tidak berani
gabikin;tidak buat
gabisa;tidak bisa
gaboleh;tidak boleh
gaboong;tidak bohong
gabutnya;gabut
gada;tidak ada
gadibolehin;tidak boleh
gadidenger;tidak dengar
gadjah;gajah
gae;buat
gaes;teman
gaess;teman
gaesss;teman
gag;tidak
gagalkanomnibuslaw;gagal omnibu law
gahabis;tidak habis
gaikutan;tidak ikut
gained;diperoleh
gais;teman
gaiso;tidak bisa
gajadi;tidak jadi
gajelas;tidak jelas
gajianya;gaji
gajih;gaji
gak;tidak
gakbener;tidak benar
gakepikiran;tidak kepikiran
gakk;tidak
gakmau;tidak mau
gakni;tidak ini
gaknih;tidak ini
gakpapa;tidak apa apa
gaktau;tidak tau
gakuat;tidak kuat
galangsung;tidak langsung
galiat;tidak lihat
gamasuk;tidak masuk
gamau;tidak mau
gangerti;tidak mengerti
gank;geng
gantiin;ganti
gapaham;tidak paham
gapangan;gampangan
gapapa;tidak apa apa
gapeka;tidak peka
gaperduli;tidak peduli
gaperlu;tidak perlu
gapunya;tidak punya
gaq;tidak
gar;xyz
garaa;gara
garagara;gara gara
garatweet;gara tweet
gasabar;tidak sabar
gasadar;tidak sadar
gasalah;tidak salah
gasetuju;tidak setuju
gasih;tidak sih
gaskeun;jalankan
gasombong;tidak sombong
gass;gas
gasss;gas
gasuka;tidak suka
gatau;tidak tau
gaterima;tidak terima
gausa;tidak usah
gausah;tidak usah
gawe;buat
gawean;kerja
gayakin;gaya
gbisa;tidak bisa
gblg;goblok
gblok;goblok
gbs;tidak bisa
gbsa;tidak bisa
gbsi;gabungan serikat buruh independen
gda;tidak ada
ge;xyz
geared;diarahkan
gebayangin;tidak bayang
gebernur;gubernur
gebukin;gebuk
gedeg;kesal
gedein;gede
gedeng;gedung
gegayaan;gaya
gek;xyz
gelapbantah;gelap bantah
gelem;mau
gelorajaksel;gelora jakarta selatan
gelud;gelut
gemalampun;malam
gemes;gemas
gemesss;gemas
gemeteran;gemetar
gemez;gemas
gemoy;gemas
gene;begini
gengs;geng
gengss;geng
gera;cepat
gerakkin;gerak
gercep;gerak cepat
gerindera;gerindra
gerwani;gerakan wanita indonesia
ges;teman
gess;teman
gesss;teman
get;dapat
geus;sudah
gg;permainan bagus
ggmu;permainan bagus manchester united
ggra;gegara
ghoib;ghaib
gibengi;tadi malam
gifted;berbakat
gih;xyz
gil;gila
gilak;gila
gilee;gila
gim;permainan
gimana;bagaimana
gimanadah;bagaimana sudah
gimanapun;bagaimana
gimane;bagaimana
gimmick;gimik
gimna;bagaimana
gin;begini
ginian;begini
ginitweet;begini tweet
girl;gadis
girlie;gadis
gitu;begitu
gituan;begitu
gituh;begitu
gitutweet;begitu tweet
gituu;begitu
give;memberi
gives;memberi
gk;tidak
gleleng;geleng
glowing;bersinar
gm;manajer umum
gmana;bagaimana
gmb;gerakan masyarakat bersatu
gmbar;gambar
gmbi;gerakan masyarakat bersatu indonesia
gmi;gerakan mahasiswa indonesia
gmn;bagaimana
gmna;bagaimana
gmni;gerakan mahasiswa nasional indonesia
gn;xyz
gni;begini
gnpf;gerakan nasiaonl pengawal fatwa
go;pergi
goblog;goblok
gobloq;goblok
god;tuhan
goes;pergi
goib;ghaib
goidditjen;goid ditjen
goidpengelolaan;selamat pengelolaan
going;pergi
gol;goal
golek;cari
good;bagus
goodbener;bagus benar
goods;bagus
gosah;tidak usah
gov;pemerintah
goverment;pemerintah
governance;pemerintahan
government;pemerintah
govt;pemerintah
goy;xyz
gp;tidak apa
gpp;tidak apa apa
gr;gede rasa
grahadiaksi;grahadi aksi
grease;lemak
greatly;sangat
greget;gereget
gregetan;gereget
grgr;gara gara
grid;jaringan
grindra;gerindra
grogot;gerogot
gross;kotor
group;grup
groups;grup
growth;pertumbuhan
grub;grup
grumbulan;gerombolan
gt;begitu
gto;begitu
gtu;begitu
gua;saya
gub;gubernur
gubernur;gubernur
guboblo;xyz
gue;saya
guede;gede
guess;kira
gugel;google
guh;xyz
guilible;mudah dibodohi
gun;gan
gung;xyz
guoblog;goblok
gur;xyz
gurem;guram
gurine;belakang
gurubesar;guru besar
gusurin;gusur
guwe;saya
guys;teman
guyss;teman
gw;saya
gwe;saya
gwh;saya
gws;semoga cepat sembuh
gx;tidak
ha;xyz
habieb;habib
habisin;habis
had;punya
hadapin;hadap
hade;bagus
hadeh;aduh
hadehh;aduh
hadeuhh;aduh
hadeuu;aduh
hadirjokowi;hadir jokowi
hadirya;hadir
haduh;aduh
hah;xyz
haha;xyz
hahaa;xyz
hahah;xyz
hahaha;xyz
hahahah;xyz
hahahaha;xyz
hahahahaahhaah;xyz
hahahahaha;xyz
hahahahahabaleg;xyz
hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha;xyz
hahahatweet;xyz
hahahha;xyz
hahatweet;xyz
hahayyy;xyz
hajelas;tidak jelas
halaalam;hal alam
halalaman;halaman
halamaaan;halaman
halamah;halaman
halamanberubah;halaman berubah
halamandilakukan;halaman dilakukan
halamandpr;halaman dewan perwakilan rakyat
halamanhari;halaman hari
halamanperdebatan;halaman perdebatan
halamansekjen;halaman sekretaris jenderal
halamanukuran;halaman ukuran
halamnnya;halaman
hallo;halo
haloo;halo
haltedari;halte dari
haluanberita;haluan berita
halutaan;xyz
ham;hak asai manusia
hamper;hambat
hancurin;hancur
hancurkann;hancur
hancurrusuh;hancur rusuh
hand;tangan
handsign;tanda tangan
hang;gantung
hany;hanya
hapal;hafal
hapalin;hafal
happened;terjadi
happening;kejadian
happens;terjadi
happy;senang
hapusin;hapus
harapin;harap
hard;keras
harder;lebih keras
harianhaluan;hari haluan
hariansoloraya;hari solo raya
harmonisasidari;harmonisasi dari
harusny;harus
has;khas
hasile;hasil
hastag;hashtag
hastagnya;hashtag
hastags;hashtag
hate;hati
hatihati;hati hati
hatu;harus
hatus;harus
have;punya
haven;tempat berlindung
having;memiliki
hayam;ayam
hayang;ingin
hayo;ayo
hayolo;ayo
hayoloh;ayo
hayoo;ayo
hayu;ayo
hayuk;ayo
hb;hamengkubuwono
hbs;habis
hde;xyz
he;hai
head;kepala
headlinenya;headline
health;kesehatan
healthy;kesehatan
hear;dengar
heard;dengar
heartless;kejam
heb;hebat
hebat;hebat
hebattt;hebat
hebob;heboh
heh;hai
hehe;xyz
hehee;xyz
heheh;xyz
hehehe;xyz
hehehehe;xyz
hehehehehtweet;xyz
hehehehhehehe;xyz
heheu;xyz
hehew;xyz
held;diadakan
hell;neraka
hello;halo
helloworld;halo dunia
helo;halo
helooww;halo
help;tolong
helper;penolong
helpommaksi;xyz
helps;tolong
hemm;xyz
heneran;benar
hent;henti
her;dia
herann;heran
herd;kawanan
here;sini
hermankhaeron;herman khaeron
hero;pahlawan
hestek;hashtag
hesteknya;hashtag
heula;dulu
heuuu;xyz
hey;hei
heyy;hei
heyyy;hei
hgu;xyz
hhmm;xyz
hhmmm;xyz
hi;hai
hiax;hoax
hidupanggota;hidup anggota
hidupsaadiah;hidup saadiah
hig;xyz
high;tinggi
highlights;highlight
hihberedar;beredar
hihi;xyz
hihihi;xyz
hiks;xyz
hilih;halah
himbauan;himbau
himbawan;himbau
hincapandjaitanxiii;hinca pandjaitan xiii
hindharno;hindar
hinga;hingga
hip;xyz
his;xyz
history;histori
hit;populer
hitam;memukul
hitz;populer
hiumakan;hiu makan
hiy;xyz
hj;haji
hk;hongkong
hki;hak kekayaan intelektual
hl;xyz
hla;xyz
hlm;halaman
hlmn;halaman
hm;xyz
hme;xyz
hmi;xyz
hmm;xyz
hmmm;xyz
hmmmhh;xyz
hmmmtweet;tweet
hmpir;hampir
hn;halaman
hnw;hidayat nur wahid
hny;hanya
hnya;hanya
ho;xyz
hoak;hoax
hoaks;hoax
hoaksahy;hoax
hoaksformat;hoax
hoax;hoax
hoaxes;hoax
hoaxnya;hoax
hoaxs;hoax
hoaxtweet;hoax tweet
hok;xyz
hold;tahan
hollyshit;omong kosong
holyshit;omong kosong
home;rumah
honey;sayang
hong;xyz
hop;xyz
hope;harap
hoping;harap
horse;kuda
hot;panas
hour;jam
hourly;per jam
house;rumah
how;bagaimana
hp;handphone
hr;hari
hri;hari
hrs;harus
hrus;harus
hrusnya;harus
hsl;hasil
ht;heard trough
htnya;heard trough
huaa;xyz
huakbar;akbar
hub;hubungi
hubunganya;hubungan
hubungin;hubung
huehehetweet;tweet
huge;besar
huh;xyz
huhu;xyz
huhuh;xyz
huhuhu;xyz
hukumonline;hukum online
hukumpenanganan;hukum penanganan
hukumtweet;hukum tweet
hukumuu;hukum undang undang
hukun;hukum
humans;human
humas;humas
humaspoldajati;humas polda jati
hunt;berburu
hurt;sakit
hwaiting;menunggu
hy;hai
hyper;hype
hyung;xyz
hyunk;xyz
i;xyz
iaitu;dia itu
ianya;dia
ibue;ibu
ibuk;ibu
ibukota;ibu kota
icw;indonesia corruption watch
id;xyz
id;xyz
iden;xyz
ideologisasinya;ideologisasi
idiologi;ideologi
idk;saya tidak tahu
idup;hidup
idupnya;hidup
idupnye;hidup
ieu;ini
if;jika
ig;instagram
ignore;mengabaikan
igshid;xyz
ih;xyz
ihh;xyz
ihhtweet;tweet
ihsg;indeks harga saham gabungan
ihw;indonesia halal watch
ii;xyz
iii;xyz
iisi;isi
ijazahe;ijazah
iji;satu
ijinkan;izin
ijinnya;izin
ik;xyz
ikhfdllh;xyz
iki;ini
ikiti;ikut
ikkakumon;xyz
ikot;ikut
ikott;ikut
iku;itu
ikutin;ikut
ikututan;ikut
ilang;hilang
ilangkan;hilang
ilc;indonesia lawyers club
ilfeel;ilfil
ilfill;ilfil
iluni;ikatan alumni universitas indonesia
im;saya
imenk;xyz
imm;ikatan mahasiswa muhammadiyah
immunity;kekebalan
implemetasi;implementasi
impormasi;informasi
importantly;penting
impossible;mustahil
imronntok;saya rontok
in;xyz
inaugurated;diresmikan
increase;meningkatkan
increasing;meningkat
ind;indonesia
independent;independen
indo;indonesia
indoesia;indonesia
indon;indonesia
indone;indonesia
indonesai;indonesia
indonesi;indonesia
indonesiadahsyatnya;indonesia dahsyat
indonesiaesensi;indonesia esensi
indonesiain;indonesia
indonesiakininews;indonesia kini news
indonesian;indonesia
indonesiasoal;indonesia soal
indonesiassa;indonesia asa
indonesiatoday;indonesia today
indonesiatweet;indonesia tweet
indonesiausai;indonesia usai
indonsia;indonesia
indozon;indozone
industry;industri
infestasi;investasi
infestor;investor
influence;influencer
influencernya;influencer
influenzer;influencer
info;informasi
infogra;informasi graifk
infografik;informasi graifk
infografis;informasi graifk
infoindonesia;informasi indonesia
infojawa;informasi jawa
informas;informasi
informasiahy;informasi ahy
informasipenyusunan;informasi penyusunan
information;informasi
informatrika;informatika
infos;informasi
infrastructure;infrastruktur
infrastrutur;infrastruktur
inget;ingat
ingetin;ingat
inibaca;ini baca
inih;ini
iniketua;ini ketua
inimagelangku;ini magelang
inimah;ini
inisator;inisiator
initiative;inisiatif
initolak;ini tolak
initweet;ini tweet
innailaihi;innalillahi
innalilahi;innalillahi
innalill;innalillahi
innalillahi;innalillahi
inshaa;insya 
insta;instagram
instagramnya;instagram
instead;sebagai gantinya
institute;institut
insyaallah;insya allah
insyallah;insya allah
intellectual;intelektual
intelligence;intelijen
intended;dimaksudkan
interest;tertarik
interesting;menarik
interestpenuh;tertarik penuh
intermezo;intermeso
international;internasional
internetmu;internet kamu
interviews;interview
intinye;intinya
into;ke
introducing;memperkenalkan
intruksi;instruksi
intrupsi;interupsi
invenstor;investor
invesment;investasi
invest;investasi
investasitweet;investasi tweet
investing;berinvestasi
investordiatur;investor diatur
investorketua;investor ketua
investors;investor
investortweet;investor tweet
io;xyz
irfansyahapakah;irfansyah apakah
irikhianatirakyat;iri khianati rakyat
is;xyz
iseas;xyz
iseh;masih
isie;isi
isiloppp;isilop
isin;malu
isine;malu
isinua;isinya
isinye;isinya
islamic;islam
iso;bisa
isoh;bisa
isok;besok
isss;xyz
issu;isu
issue;isu
issued;isu
ist;xyz
istanaruu;instana rancangan undang undang
isterinya;istri
istighfar;istigfar
isuk;besok
it;xyz
itself;diri
ituh;itu
itumah;itu
itung;hitung
itungan;hitung
itungannya;hitung
ituserikat;itu serikat
itutweet;itu tweet
ituu;itu
ituuu;itu
ive;saya sudah
iwansatyanegarakamah;iwan satya negara kamah
iy;iya
iyaa;iya
iyah;iya
iyak;iya
iyasih;iya
iyo;iya
ja;saja
jaaahatt;jahat
jabar;jawa barat
jabarbicara;jawa barat berbicara
jad;jadi
jadisolusi;jadi solusi
jadsosialisasi;jadi sosialisasi
jag;jaga
jage;jaga
jagoo;jago
jahanam;jahanam
jajara;jajaran
jakartabin;jakarta bin
jakartaratusan;jakarta ratusan
jakartasetelah;jakarta setelah
jakbar;jakarta barat
jakpus;jakarta pusat
jalanin;jalan
jalanpembersihan;jalan pembersihan
jaman;zaman
jambiseru;jambi seru
jametz;jamet
jamming;kemacetan
jamsos;jaminan sosial
jancokk;jancok
jane;sebenarnya
jangang;jangan
jangkep;lengkap
jap;sekejap
jar;xyz
jare;katanya
jarene;katanya
jarrak;jarak
jatam;jaringan advokasi tambang
jateng;jawa tengah
jatengkabidhumas;jawa tengah kabid humas
jatim;jawa timur
jatohnya;jatuh
jawabanya;jawaban
jawaben;jawaban
jawatengah;jawa tengah
jbjb;join bareng
jbtan;jabatan
jd;jadi
jdi;jadi
jdkan;jadi
jegalsampaibatal;jegal sampai batal
jegalsampaigagal;jegal sampai gagal
jeirry;jerry
jejangan;jangan jangan
jelase;jelas
jelasin;jelas
jelasinin;jelas
jelaske;jelas
jelasne;jelas
jelass;jelas
jele;jelek
jelekin;jelek
jeleknyaa;jelek
jemput;xyz
jendral;jenderal
jenenge;nama
jeng;anjing
jengot;jenggot
jeung;dan
jg;juga
jga;juga
jgan;jangan
jgk;juga
jgn;jangan
jiga;juga
jingan;bajingan
jiper;takut
jir;anjir
jk;jika
jkp;jaminan kehilangan pekerjaan
jkrt;jakarta
jkt;jakarta
jkw;jokowi
jl;jalan
jln;jalan
jls;jelas
jlsnya;jelas
jng;jangan
jngan;jangan
jngn;jangan
jodohtweet;jodoh tweet
joged;joget
jogetin;joget
joka;jika
joke;jokes
jokowidodo;joko widodo
jokowihari;jokowi hari
jokowo;jokowi
jokowow;jokowi
jokwi;jokowi
joss;xyz
josss;xyz
journalis;jurnalis
jph;jaminan produk halal
jpnn;xyz
jps;jaring pengaman sosial
jr;judicial review
jrx;jerinx
jstru;justru
jt;juta
jubir;juru bicara
judical;judicial
judisial;judicial
jugaa;juga
jugak;juga
jugatweet;juga tweet
jujuratoberbohong;jujur atau berbohong
jujurgp;jujur gp
juk;xyz
jum;jumat
jumaat;jumat
jung;xyz
junk;xyz
jurnalgaya;jurnal gaya
jut;juta
juve;juventus
jwb;jawab
jwbnnya;jawab
ka;kak
kab;kabupaten
kabarlumajang;kabar lumajang
kabarmadura;kabar madura
kabbandung;kabupaten bandung
kabeh;semua
kabidhumas;kabid humas
kabinettweet;kabinet tweet
kabint;kabinet
kadag;kadang
kadisnasker;kadisnaker
kae;itu
kaga;kagak
kagada;kagak ada
kagadeng;kagak
kah;xyz
kai;xyz
kaitanya;kait
kaka;kakak
kakakaka;kakak
kakanya;kakak
kakel;kakak kelas
kalahin;kalah
kalangantweet;kalanga tweet
kalaubelajarjanganbosan;kalau belajar jangan bosan
kalbar;kalimantan barat
kalean;kalian
kalee;kali
kaliaan;kalian
kaliam;kalian
kalo;kalau
kalo;kalau
kaloh;kalau
kalok;kalau
kalsel;kalimantan selatan
kalteng;kalimantan tengah
kaltim;kalimantan timur
kalut;kalimantan utara
kamarana;kemana
kamivideo;kami video
kammi;kami
kamprettweet;kampret tweet
kamutu;kamu itu
kamuu;kamu
kan;xyz
kanggo;untuk
kann;xyz
kannn;xyz
kant;xyz
kantahkabsrage;kantah kabupaten sragen
kapoksi;kapok
kaprak;kaprah
karampuan;karampuang
karangtina;karantina
karepe;terserah
karepmu;terserah kamu
kariawan;karyawan
karja;kerja
karn;karena
karna;karena
karo;dengan
karopenmas;dengan penmas
karrna;karena
karyawannya;karyawan
kasi;kasih
kasiann;kasian
katadata;kata data
katagori;kategori
katain;kata
katamya;katam
katanaa;katana
katanyanamah;kata
katanyanya;kata
katasapeee;kata siapa
katax;kata
kategori;kategori
kauhp;kitab acara undang undang hukup pidana
kawatir;khawatir
kayake;kayak
kb;keluarga besar
kbar;kabar
kbeh;semua
kbenarannya;benar
kberpihakan;pihak
kbijak;bijak
kbjkn;kebijakan
kbmfilkom;keluarga besar mahasiswa fakultas ilmu komputer
kbnyakan;kebanyakan
kbnyakn;kebanyakan
kbpii;keluarga besar pelajar islam indonesia
kbsi;kongres buruh seluruh indonesia
kci;kereta commuter indonesia
kcuali;kecuali
kd;krisdayanti
kdh;kepala daerah
kebathilan;batil
kebijakn;kebijakan
kebnykn;kebanyakan
kebwh;ke bawah
kec;kecamatan
kecilmenaker;kecil menaker
kecilruu;kecil rancangan undang undang
kecyduk;terciduk
kedamaiaan;kedamaian
kedzoliman;kezaliman
kegoblogan;kegoblokan
kehiduoan;kehidupan
kejanggalankan;kejanggalan
kejokowiannya;jokowi
kek;kayak
kekawatiran;khawatir
kekeuh;berupaya keras
kekuaranganya;kekurangan
kekuatiran;kekhawatiran
kel;kelurahan
kelakuantolak;kelakuan tolak
kelarr;kelar
kelen;kalian
keluarin;keluar
kemanusianmu;kemanusian kamu
kemaren;kemarin
kemaritima;kemaritiman
kembli;kembali
kemenagruu;kemenag rancangan undang undang
kemenanganya;kemenangan
kemendagri;kemendag republik indonesia
kemendagripj;kemendag republik indonesia penjabat
kemensekneg;kemensetneg
kemensetnegdpr;kemensetneg dewan perwakilan rakyat
kemntrian;kementerian
kemudia;kemudian
kencengin;kenceng
keneh;masih
kenek;kena
kengawuran;ngawur
kenjalan;ke jalan
kenyataanya;kenyataan
kepake;pakai
kepda;kepala daerah
kepie;bagaimana
kepiye;bagaimana
keponyaa;kepo
kepri;kepulauan riau
keputusa;keputusan
ker;xyz
kerass;keras
keres;keras
kerj;kerja
kerjaachmad;kerja achmad
kerjaagar;kerja agar
kerjaakhirnya;kerja akhirnya
kerjaaksi;kerja aksi
kerjaaliansi;kerja aliansi
kerjaambulance;kerja ambulance
kerjaantweet;kerjaan tweet
kerjabaleg;kerja baleg
kerjabamsoet;kerja bamsoet
kerjabank;kerja bank
kerjabareskrim;kerja bareskrim
kerjabenarkah;kerja benarkah
kerjabrimob;kerja brimob
kerjacounter;kerja counter
kerjacover;kerja cover
kerjadaftar;kerja daftar
kerjadahlan;kerja dahlan
kerjadandrem;kerja dandrem
kerjademo;kerja demo
kerjadiam;kerja diam
kerjadidemo;kerja di demo
kerjadiserahkan;kerja diserahkan
kerjadpr;kerja dewan perwakilan rakyat
kerjadradjad;kerja derajat
kerjaforum;kerja forum
kerjagabungan;kerja gabungan
kerjaganjar;kerja ganjar
kerjagelar;kerja gelar
kerjagubernur;kerja gubernur
kerjaguru;kerja guru
kerjahmi;kerja hmi
kerjahoax;kerja hoax
kerjahumas;kerja humas
kerjaihsg;kerja indeks harga saham gabungan
kerjaikatan;kerja ikatan
kerjailliza;kerja illiza
kerjain;kerja
kerjaini;kerja
kerjainilah;kerja
kerjajadi;kerja jadi
kerjajejak;kerja jejak
kerjajember;kerja jember
kerjajokowi;kerja jokowi
kerjak;kerja
kerjakammi;kerja kami
kerjakapolda;kerja kapolda
kerjakapolres;kerja kapolres
kerjakerja;kerja kerja
kerjakumpulan;kerja kumpulan
kerjakumpulkan;kerja kumpulkan
kerjalacak;kerja lacak
kerjalipi;kerja lipi
kerjaliputan;kerja liputan
kerjalive;kerja live
kerjamahasiswa;kerja mahasiwa
kerjamahfud;kerja mahfud
kerjamantan;kerja mantan
kerjameluruskan;kerja meluruskan
kerjamenaker;kerja menaker
kerjamjnews;kerja mjnews
kerjamuhammadiyah;kerja muhammadiyah
kerjamuncul;kerja muncul
