,user_account,tweet,tweet_clean,label
259,@defgro,"6 hari setelah RUU cipta kerja disahkan, ihsg bullish. koreksi dikit wajar",rancang undang undang cipta kerja sah indeks harga saham gabung koreksi wajar,1
262,@PernisG,URUH dari berbagai serikat pekerja menggelar unjuk rasa di banyak kota dan daerah di Indonesia sebagai wujud penolakan atas disetujuinya RUU Cipta Kerja oleh DPR pada 5 Oktober 2020. Salah satu organisasi pekerja yang menolak,buruh serikat kerja gelar unjuk kota daerah indonesia wujud tolak tuju rancang undang undang cipta kerja dewan wakil rakyat oktober salah organisasi kerja tolak,0
264,@kemenkopmk,"3. RUU Cipta Kerja ditetapkan sebagai Prolegnas Prioritas Tahun 2020

#OmnibusLawTaatProsedur
#KemenkoPMKKemenko Perekonomian RI",rancang undang undang cipta kerja tetap program legislatif nasional prioritas tahi ekonomi rakyat indonesia,1
266,@Randuhati,"RUU cipta kerja jelas2 berpihak pada kepentingan rakyat kecil dan petani, jadi percayakan sajalah pada pemerintah, bahwa pemerintah akan memberikan yg terbaik buat rakyat indonesia.

#omnibuslaw
#jokowi",rancang undang undang cipta kerja pihak penting rakyat tani percaya perintah perintah baik rakyat indonesia,1
268,@_GalihM_,"Sementara itu, Azis Syamsuddin menegaskan bahwa UU Cipta Kerja yang resmi hanya berisi 488 halaman. Namun, apabila ditambah dengan jumlah halaman penjelasan UU Omnibus Law tersebut, totanya menjadi 812 halaman. Azis menjelaskan bahwa pada saat pembahasan di Panitia Kerja RUU ...",azis syamsuddin undang undang cipta kerja resmi isi halaman tambah halaman jelas undang undang omnibus law total halaman azis bahas panitia kerja rancang undang undang,1
269,@Mtuhasan02,"#OmnibusLawUntungkanBuruh

Himbawan komenfo,agar masyarakat gk terpengaruh berita hoax tentang RUU Cipta Kerja.

Ya sepakat!bijak lah dlm menerima suatu informasi yg diberikan orang lain/kelompok,cek dan recek dulu sumber beritanya dari mana ya sahabat.Menkominfo: Masyarakat Jangan Terpicu Hoaks UU Cipta Kerja
Jakarta, Ditjen Aptika - Unjuk rasa terhadap Rancangan Undang-Undang (RUU) Cipta Kerja oleh sejumlah pihak banyak didasari atas hoaks atau disinformasi. Menkominfo menghimbau agar masyarakat tidak...
aptika.kominfo.go.id",himbau kominfo masyarakat pengaruh berita hoax rancang undang undang cipta kerja ya sepakat bijak terima informasi orang kelompok cek recek sumber berita ya sahabat menteri komuninkasi informatika masyarakat ter hoax undang undang cipta kerja jakarta direktorat jenderal aptika unjuk rancang undang undang rancang undang undang cipta kerja dasar hoax informasi menteri komuninkasi informatika menghimbau masyarakat aptika kominfo pergi,1
271,@entez_,"Membalas 
@71_ric
 @Klarikasih
  dan 2 lainnyaIngat, sebelum jadi UU, RUU cipta kerja sudah ditolak oleh berbagai aliansi masyarakat dari tahun lalu, bukan hanya mahasiswa dan serikat pekerja saja yang menolak.",balas undang undang rancang undang undang cipta kerja tolak aliansi masyarakat tahi mahasiswa serikat kerja tolak,0
273,@geloraco,"Gunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir KritikanGunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir Kritikan
Baca Artikel Gunakan Diksi 'Cacat' untuk Kaum Disabilitas, Draf Rinal RUU Cipta Kerja Banjir Kritikan Selengkapnya di Gelora News
gelora.co",kasih cacat kaum disabilitas draf final rancang undang undang cipta kerja banjir kritik kasih cacat kaum disabilitas draf final rancang undang undang cipta kerja banjir kritik baca artikel kasih cacat kaum disabilitas draf final rancang undang undang cipta kerja banjir kritik lengkap gelora news gelora,0
274,@FPKSDPRRI,"QnA RUU Cipta Kerja

Izin mengkonfirmasi banyak berita beredar, benarkah PKS dibalik aksi unjuk rasa kemaren ?

#fraksipksdprri 
#berkhidmatuntukrakyat 
#pksawasikabinet 
#pkstolakOmnibuslaw 
#BatalkanCiptaker",sesi rancang undang undang cipta kerja izin konfirmasi berita edar pks balik aksi unjuk kemarin,1
275,@sonorafmjogja,#SelamatPagiJogja l Kompas l RUU Cipta Kerja. Buruh siapkan pengujian ke MK  #Radio #SonoraFmJogja,l kompas l rancang undang undang cipta kerja buruh siap uji mahkamah konstitusi,1
277,@Ananda70463804,"Membalas 
@dadangrhsSaya kira penilaian ini sdh sangat jelas bahwa UU cipta kerja tdk pantas diajukan sbg RUU...masih kah akan dilanjutkan sbg acuan UU yg pantas direpublik ini......kasihan sekali negara ini.....",balas nilai undang undang cipta kerja aju rancang undang undang lanjut acu undang undang republik kasihan negara,0
279,@Robert__Moses,"#OmnibusLawTaatProsedural 

Ketika ratas Presiden :
RUU Omnibus Law Cipta Kerja ini memasuki tahap finalisasi pada tanggal 15 Januari 2020 
Di serahkan lah draft RUU Cipta Kerja kepada Presiden Joko Widodo",rapat batas presiden rancang undang undang omnibus law cipta kerja pasuk tahap final tanggal januari serah draf rancang undang undang cipta kerja presiden joko widodo,1
280,@windhra,"Membalas 
@CNNIndonesiaRakyat prihatin anggota DPR gak baca draft final RUU tp tetep mensahkan #RUUCiptaKerja  jd #uucilaka  ",balas prihatin anggota dewan wakil rakyat baca draf final rancang undang undang sah,0
281,@opsiin,"Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompas- https://ift.tt/2H3g3fPMembandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompas-...
Membandingkan 3 Draf RUU Cipta Kerja: Ada Perbedaan Ketentuan Cuti, Upah, dan PHK – kompasKOMPAS.COM/JAKA HBJAKARTA, KOMPAS.com – Draf RUU Cipta Kerja yang telah disahkan menjadi undang…
impormasi.wordpress.com",banding draf rancang undang undang cipta kerja beda tentu cuti upah phk kompas,1
282,@serambinews,"#UUCiptaKerja
#OmnibusLaw
Meski sudah disahkan DPR RI menjadi undang-undang pada 5 Oktober 2020 lalu, hingga kini keberadaan draf RUU Cipta Kerja masih menuai polemik.
total ada tiga versi draf RUU Cipta Kerja yang beredar.Beredar Ada Tiga Versi RUU Cipta Kerja, Mana Draf yang Disahkan DPR? - Serambi Indonesia
Hingga saat ini, belum diketahui secara pasti mengenai sumber awal draf RUU Cipta Kerja versi terbaru ini.
aceh.tribunnews.com",sah dewan wakil rakyat rakyat indonesia undang undang oktober ada draf rancang undang undang cipta kerja tuai polemik total versi draf rancang undang undang cipta kerja edar edar versi rancang undang undang cipta kerja draf sah dewan wakil rakyat serambi indonesia sumber draf rancang undang undang cipta kerja versi baru aceh,1
283,@mjnews_id,"Sekelumit Perjalanan Panja RUU Cipta KerjaMJNews.id - Info Berita Terbaru: Sekelumit Perjalanan Panja RUU Cipta Kerja
Oleh: Guspardi Gaus Menyikapi banyaknya muncul opini, persepsi, pendapat dan tudingan yang disampaikan oleh banyak pengamat dan masyarakat l...
mjnews.id",kelumit jalan panitia kerja rancang undang undang cipta kerja mjnews informasi berita baru kelumit jalan panitia kerja rancang undang undang cipta kerja guspardi gaus sikap banyak muncul opini persepsi dapat tuding amat masyarakat l mjnews,1
285,@edukasiborneo,"Ketua KSBSI Kalbar, Suherman dalam orasainya menyampaikan penolakan tegas terhadap RUU Cipta Kerja disahkannya menjadi Undang-undang karena dinilai tidak pro buruh atau rakyat.

(Baca selengkapnya di http://mediaedukasiborneo.com)

#BuruhMenggugatUUCiptaKerja",ketua ksbsi kalimantan barat suherman orasi tolak rancang undang undang cipta kerja sah undang undang nilai pro buruh rakyat baca lengkap,1
286,@bripfths,"Belum kelar RUU. Masyarakat yang masih Pusing karna RUU cipta kerja yg ga jelas di hebohkan Aktivis-aktivis dan Petinggi Koalisi aksi menyelamatkan Indonesia (KAMI). 
Ini kek nya ISU Mengalihkan ISU
Slide2",kelar rancang undang undang masyarakat pusing rancang undang undang cipta kerja heboh aktivis aktivis petinggi koalisi aksi selamat indonesia kayak isu alih isu,0
287,@Riau1Official,DPR RI Serahkan Naskah RUU Cipta Kerja Hari Ini ke Jokowi http://dlvr.it/RjZfHm,dewan wakil rakyat rakyat indonesia serah naskah rancang undang undang cipta kerja jokowi,1
289,@farid_wajdi70,"Poinnya bagi media 
Ironisnya, media bahkan sangat minim memberitakan bagaimana omnibus law RUU Cipta Kerja akan membahayakan kebebasan pers dan kerja-kerja jurnalistik itu sendiriTweet Kutipan
Febri Diansyah
@febridiansyah
 · 13 Okt
Membalas @farid_wajdi70
menarik datanya ",poin media ironis media minim berita omnibus law rancang undang undang cipta kerja bahaya bebas pers kerja kerja jurnalistik tweet kutip febri diansyah oktober balas tarik data,1
290,@matapolitikcom,"RUU Cipta Kerja: Indikasi Rusaknya Demokrasi Kita?RUU Cipta Kerja: Indikasi Rusaknya Demokrasi Kita?
Informasi terkait RUU Cipta Kerja: Indikasi Rusaknya Demokrasi Kita?. Berikut ini adalah pembahasan mendalam dan selengkapnya!
matamatapolitik.com",rancang undang undang cipta kerja indikasi rusak demokrasi rancang undang undang cipta kerja indikasi rusak demokrasi informasi kait rancang undang undang cipta kerja indikasi rusak demokrasi bahas dalam lengkap,1
291,@adrianusivann,"Tidak ada kaitannya dengan asing pak menhan, ini ulah dr salah satu partai mnrt asumsi saya, yang sangat berambisi untuk mensahkan RUU Cipta kerja iniTweet Kutipan
Pinterpolitik.com
@pinterpolitik
 · 14 Okt
Hmm, asing yang mana nih ya? Setuju nggak sama pendapatnya Pak @prabowo ? 
 #pinterpolitik #infografis #politik 
https://pinterpolitik.com/politik-catur-di-balik-ruu-ciptaker…",kait asing menteri tahan ulah salah partai asumsi ambisi sah rancang undang undang cipta kerja tweet kutip oktober asing ya tuju dapat,1
292,@QueenOfRed2,"Pengesahan RUU Cipta Kerja
https://facebook.com/2013870502004731/posts/3498892433502523/?app=fbl…
#DPCPDIPerjuanganKabSukabumi #DPPPDIPerjuanganJabar #DPDPDIPerjuanganJabar
#PDIPerjuanganJabar
#PDIPerjuangan #JabarBangkit
#AbuBakarSirojudin #SukabumiHarmoni #PAS #KoalisiBersih #Pilkadakabsukabumi2020 #gotongroyong",kesah rancang undang undang cipta kerja,1
293,@HendriS90,Menko Prekonomian Airlangga Hartarto kembali menegaskan bahwa proses pnyusunan RUU Cipta Kerja dilaksanakn dengan semangat keterbukaan dan partisipatif.,menteri koordinator ekonomi airlangga hartarto proses susun rancang undang undang cipta kerja laksana semangat buka partisipatif,1
294,@lpppgk,"#SobatHalilintarMedia, sekarang lagi rame nih ya bahas Penyusunan RUU Cipta Kerja. Kalian tau ngga, kalo penyusunan RUU ini telah melalui proses yang panjang lho. Coba disimak thread mimin ini ya

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",ramai ya bahas susun rancang undang undang cipta kerja susun rancang undang undang proses coba simak utas admin ya,1
295,@TIARA2796,"Dengan RUU Cipta Kerja 
Maka UMKM akan terjamin
Di mana Pemerintah akan membentuk pengelola investasi guna kemajuan UMKM tentu akan meningkatkan lapangan kerja 

Bentuk nyata dr pemerintah terhadap UMKM...layak utk kita dukung 
#StophoaxUUCiptaker",rancang undang undang cipta kerja usaha mikro tengah jamin perintah bentuk kelola investasi maju usaha mikro tengah tingkat lapang kerja bentuk nyata perintah usaha mikro tengah layak dukung,1
296,@polsek_dolok,"Kanit Reskrim IPDA Zulfan Ahmadi, SH dan Personil Polsek Dolok Masihul  Mensosialisasikan RUU CIPTA KERJA ( OMNIBUS LAW) dan Meluruskan 12 Berita HOAKS PT Karya Hevea Indonesia.",kanit reskrim ipda zulfan ahmadi sh personel polsek masihul sosialisasi rancang undang undang cipta kerja omnibus law lurus berita hoax pt karya hevea indonesia,1
298,@Rutan1PLG,"Sahabat Pengayoman, sekarang lagi rame nih ya bahas Penyusunan RUU Cipta Kerja. Kalian tau ngga, kalo penyusunan RUU ini telah melalui proses yang panjang lho. Coba disimak thread Yomin ini ya

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",sahabat ayom ramai ya bahas susun rancang undang undang cipta kerja susun rancang undang undang proses coba simak utas yomin ya,1
300,@yesiyanotidak,"RUU Cipta Kerja gairahkan UMKM dan Koperasi 
#OmnibusLawUntungkanBuruhRUU Cipta Kerja Gairahkan UMKM dan Koperasi
Undang Undang Cipta Kerja dikemas untuk kepentingan UMKM dan koperasi. Salah satunya untuk penyerapan tenaga kerja dan kemudahan perizinan. Apa saja manfaat dan dampak lainnya untuk UMKM dan koperasi?
metrotvnews.com",rancang undang undang cipta kerja gairah usaha mikro tengah koperasi cipta kerja gairah usaha mikro tengah koperasi undang undang cipta kerja kemas penting usaha mikro tengah koperasi salah satu serap tenaga kerja mudah izin manfaat dampak usaha mikro tengah koperasi,1
303,@cnyteams,"Menanggapi aspirasi Masyarakat, H. Ade Sugianto Bupati Kabupaten Tasikmalaya, mendukung penolakan RUU Omnibus Law Cipta Kerja.

.
.
.
.
#No2
#Tasik
#NoUrut2
#SabaSapa
#AdeCecep
#HadeYakin
#TasikHade
#TasikYakin
#CNYTeams
#AdeSugianto
#Tasikmalaya
#PilkadaTasik",tanggap aspirasi masyarakat h ade sugianto bupati kabupaten tasikmalaya dukung tolak rancang undang undang omnibus law cipta kerja bagus malaya,1
304,@yusriza,(2) cukup banyak pasal-pasal yang diatur lebih lanjut dengan Peraturan Pemerintah dan meringkas alasan-alasan pemutusan hubungan kerja dalam Pasal 154 A RUU Cipta Kerja.,pasal pasal atur atur perintah ringkas alas alas putus hubung kerja pasal a rancang undang undang cipta kerja,1
306,@germantantra,"Asik
Lumayan nambah proyek baru nih...
Tau dong siapa orangnya?

Rusuh Demo Tolak RUU Cipta Kerja, Tenda PSBB Tugu Tani HancurRusuh Demo Tolak RUU Cipta Kerja, Tenda PSBB Tugu Tani Hancur
Polisi menembakkan gas air mata menyusul massa demo tolak RUU Cipta Kerja yang ricuh di Tugu Tani, Jakarta Pusat.
liputan6.com",asyik lumayan nambah proyek orang rusuh demo tolak rancang undang undang cipta kerja tenda psbb tugu tani hancur rusuh demo tolak rancang undang undang cipta kerja tenda psbb tugu tani hancur polisi tembak gas air mata susul demo tolak rancang undang undang cipta kerja ricuh tugu tani jakarta pusat,0
309,@flowsloww,"Membalas 
@gamerkickers
 @TakCluritKon
  dan 17 lainnyagak gampang ngeruk tanah adat?investor global sampe prihatin dalam pengesahan ruu cipta kerja ini semakin gampang investor untuk ngeruknya bang",balas gampang keruk tanah adat investor global prihatin kesah rancang undang undang cipta kerja gampang investor keruk bang,0
310,@mahdesi,Imbauan untuk menjaga ketertiban dan menghindari perusakan fasilitas publik dalam penyampaian pendapat dan dijumpai di banyak lokasi di Jakarta. Hal itu seiring masih adanya gelombang protes sejumlah elemen masyarakat atas persetujuan DPR untuk pengesahan RUU Cipta Kerja.,imbau jaga tertib hindar rusa fasilitas publik sampai dapat jumpa lokasi jakarta iring gelombang protes elemen masyarakat tuju dewan wakil rakyat kesah rancang undang undang cipta kerja,1
311,@gemaappe,"Orang orang tuh pada sambat RUU Cipta kerja dan COVID-19, sedangkan aku Hidup sambil Kerja aja sudah struggle.",orang orang sambat rancang undang undang cipta kerja covid hidup kerja juang,1
312,@labumi_id,"Pakar Hukum; Kesimpangsiuran RUU Cipta Kerja Akibat Legislasi DipaksakanPakar Hukum; Kesimpangsiuran RUU Cipta Kerja Akibat Legislasi Dipaksakan
Labumi.id, Rancangan Undang-Undang (RUU) Cipta Kerja usai disahkan dalam rapat paripurna, Senin (5/10) lalu dinilai banyak terjadi kesimpangsiuran akibat proses legislasi yang dipaksakan. Pakar Hukum...
labumi.id",pakar hukum simpang siur rancang undang undang cipta kerja akibat legislasi paksa pakar hukum simpang siur rancang undang undang cipta kerja akibat legislasi paksa labumi rancang undang undang rancang undang undang cipta kerja sah rapat paripurna senin nilai simpang siur akibat proses legislasi paksa pakar hukum labumi,1
313,@jamaluddinmarz,"Istana Masih Bungkam soal Simpang Siur Draf RUU Cipta Kerja... 
Klik untuk baca: http://kmp.im/AGA87X

Bingung sendiri kan...sudah terlanjur bilang bahwa pendemo termakan hoax...jadi hoaxnya berasal dari gedung rakyatIstana Masih Bungkam soal Simpang Siur Draf RUU Cipta Kerja...
Hingga saat ini draf final RUU Cipta Kerja belum diakses DPR dan Pemerintah. Pihak Istana Kepresidenan belum memberi respons.
nasional.kompas.com",istana bungkam simpang siur draf rancang undang undang cipta kerja klik baca,1
314,@gakenalkamuih,"RUU Cipta Kerja transparan dan demokratis 
#OmnibusLawTransparan",rancang undang undang cipta kerja transparan demokratis,1
317,@ekonomimaju,"Pembahasan RUU CIptaker dilakukan sebanyak 64 kali, terdiri dari dua kali rapat kerja, 56 kali rapat panja, dan 6 kali rapat tim perumus dan tim sinkronisasi.

#OmnibusLawTransparan #KitaButuhCiptaKerja #CiptaKerja #omnibuslawuntukumkm #OmnibusLawTransparan #OmnibuslawBerkah",bahas rancang undang undang cipta kerja kali kali rapat kerja kali rapat panitia kerja kali rapat tim rumus tim sinkronisasi,1
318,@RinduSBY,"Melalui akun Twitter pribadinya, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono berpendapat mengenai dugaan cacat formil dalam UU Cipta Kerja. Dugaan ini didasarkan pada Draf Final RUU Ciptaker yang dikabarkan berubah-ubah.",akun twitter pribadi ketua partai demokrat agus harimurti yudhoyono dapat duga cacat formal undang undang cipta kerja duga dasar draf final rancang undang undang cipta kerja kabar ubah ubah,0
319,@nur_handayani__,"Membalas 
@TRANS7Yg udah baca keseluruhan RUU Cipta Kerja itu hanya Bapak dan atau Ibu yg bertugas ngetik itu kitab ",balas baca rancang undang undang cipta kerja tugas ketik kitab,1
320,@AbdRachim12,"MUI Larang Investasi RUU Cipta Kerja dari Judi dan NarkotikaMUI Larang Investasi RUU Cipta Kerja dari Judi dan Narkotika
REPUBLIKA.CO.ID,JAKARTA Majelis Ulama Indonesia (MUI) memberikan pandangan dan sikap terkait Rancangan Undang Undang (RUU) Cipta Kerja yang sedang dikaji oleh DPR dan pemerintah. Salah satu sikap MUI...
republika.co.id",majelis ulama indonesia larang investasi rancang undang undang cipta kerja judi narkotika larang investasi rancang undang undang cipta kerja judi narkotika republik jakarta majelis ulama indonesia majelis ulama indonesia pandang sikap kait rancang undang undang rancang undang undang cipta kerja kaji dewan wakil rakyat perintah salah sikap majelis ulama indonesia republik,1
321,@PDemokrat,"""Pagi ini (13/10), saya membaca headline Koran Tempo dan Kompas. Kedua harian nasional itu menyoroti tentang dugaan cacat formil dalam UU Cipta Kerja. Dugaan ini didasarkan pada Draf Final RUU Ciptaker yang dikabarkan berubah-ubah""

--AHY",pagi baca headline koran tempo kompas hari nasional sorot duga cacat formal undang undang cipta kerja duga dasar draf final rancang undang undang cipta kerja kabar ubah ubah,1
322,@jitoe02,"Slamet mengatakan, selain menolak RUU Cipta Kerja, terdapat beberapa poin yang akan disuarakan. Di antaranya selamatkan NKRI dan kaum buruh, dan bubarkan BPIP, serta ganyang China komunis si dalang.

Awas Korona #KadrunMakarTunggangiOBL",selamat tolak rancang undang undang cipta kerja poin suara selamat negara satu republik indonesia kaum buruh bubar badan bina ideologi pancasila ganyang cina komunis si dalang awas corona,1
323,@annisanrhsnah,"semakin didenger debat di mata najwa hari ini, semakin bingung gue sama ruu cipta kerja. (((yang berakibat semakin lama juga w start tugasnya
)))......",dengar debat mata najwa bingung rancang undang undang cipta kerja akibat w start tugas,1
325,@wa_puspa,"Sejalan dengan pemikiran Prof Wihana, ekonom dari Universitas Muhammadiyah Yogyakarta (UMY) Ahmad Ma’ruf mengatakan bahwa Omnibus Law RUU Cipta Kerja dinilai mampu mengakselerasi dan menstimulus ekonomi rakyat.  #OmnibusLawUntungkanBuruhOmnibus Law Cipta Kerja Bermanfaat Bagi Pekerja
Oleh : Raavi Ramadhan )* Pihak yang menolak Rancangan Undang-undang Cipta Kerja (RUU Ciptaker) belum tentu paham akan kepentingan dan manfaat besar dari aturan tersebut. Padahal Omnibus Law Cipta...
klikwarta.com",jalan pikir prof wihana ekonomi universitas muhammadiyah yogyakarta umy ahmad ma ruf omnibus law rancang undang undang cipta kerja nilai akselerasi stimulus ekonomi rakyat law cipta kerja manfaat kerja raavi ramadhan tolak rancang undang undang cipta kerja rancang undang undang cipta kerja paham penting manfaat atur omnibus law cipta,1
328,@pangamanuwu,"Serius nanya, RUU Cipta Kerja yang baru disahkan itu semua butirnya salah atau sebagian aja?",serius rancang undang undang cipta kerja sah butir salah,1
329,@pandu_tri26,"Udah kebaca dari awal, mangkanya enggak mau ikut ikutan bicara soal RUU cipta kerja, toh yg di infokan di sosmed HOAX semua kok",baca mangkanya ikut bicara rancang undang undang cipta kerja info sosial media hoax,0
331,@opsiin,"BIN Sebut Tahu Dalang Demo Penolakan RUU Cipta Kerja ke Publik, Fahri Hamzah: Tidak Boleh, Please! – Zona JakartaBIN Sebut Tahu Dalang Demo Penolakan RUU Cipta Kerja ke Publik, Fahri Hamzah: Tidak Boleh, Please!...
BIN Sebut Tahu Dalang Demo Penolakan RUU Cipta Kerja ke Publik, Fahri Hamzah: Tidak Boleh, Please! – Zona Jakarta Zonajakarta.com- Demonstrasi masa penolak RUU Cipta Kerja alias Omnibus Law y…
impormasi.wordpress.com",bin dalang demo tolak rancang undang undang cipta kerja publik fahri hamzah tolong zona jakarta bin dalang demo tolak rancang undang undang cipta kerja publik fahri hamzah tolong bin dalang demo tolak rancang undang undang cipta kerja publik fahri hamzah tolong zona jakarta demonstrasi tolak rancang undang undang cipta kerja alias omnibus law y informasi,1
332,@RssfForever,"Omnibus Law Cipta Kerja merupakan RUU usulan Jokowi dan masuk sebagai RUU Prioritas Tahun 2020 dalam Program Legislasi Nasional Tahun 2020. #OBLBuatRakyatSejahtera3 Manfaat UU Cipta Kerja untuk Rakyat Seperti yang Diklaim Jokowi Halaman all - Kompas.com
Presiden Joko Widodo (Jokowi) membeberkan 3 manfaat besar dari disahkannya RUU Omnibus Law Cipta Kerja menjadi UU Cipta Kerja. Halaman all
money.kompas.com",omnibus law cipta kerja rancang undang undang usul jokowi masuk rancang undang undang prioritas tahi program legislasi nasional tahi manfaat undang undang cipta kerja rakyat klaim jokowi halaman all presiden joko widodo jokowi beber manfaat sah rancang undang undang omnibus law cipta kerja undang undang cipta kerja halaman all money,1
333,@Lady_Medussa,Tolong ada yg masih nyimpen trit ttg RUU Cipta kerja kemaren ga?,tolong simpan utas rancang undang undang cipta kerja kemarin,1
337,@superrsid,"Membalas 
@CNNIndonesiaJadi yang Punya draft RUU/UU Cipta kerja yg disahkan, jika bukan dari link resmi bisa di tuduh menyebarkan hoax.. 

ehh gimana sikk ",balas draf rancang undang undang undang undang cipta kerja sah link resmi tuduh sebar hoax sih,1
338,@silviaA03016926,Dengan adanya Omnibus Law RUU Cipta kerja menjadikan Indonesia menjadi lebih baik,omnibus law rancang undang undang cipta kerja jadi indonesia,1
341,@03__nakula,"Tahapan berikut nya draft disampaikan ke presiden, lalu presiden adakan rapat terbatas RUU Omnibus Law Cipta kerja masuk tahap finalisasi 15 Januari 2020.

Kemudian DPR menetapkan RUU cipta kerja sebagian program legislasi nasional prioritas tahun 2020.

#OmnibusLawTaatProseduralWong Agung dan 9 lainnya",tahap draf presiden presiden rapat batas rancang undang undang omnibus law cipta kerja masuk tahap final januari dewan wakil rakyat tetap rancang undang undang cipta kerja program legislasi nasional prioritas tahi agung,1
342,@iqbalangr,"Rapat-Rapat Penentu RUU Cipta KerjaRapat-Rapat Penentu RUU Cipta Kerja - Tirto.ID
Rapat-rapat Cipta Kerja di beberapa hotel menghasilkan beberapa keputusan, yang itu berubah lagi seketika di DPR RI.
tirto.id",rapat rapat tentu rancang undang undang cipta kerja rapat rapat tentu rancang undang undang cipta kerja tirto rapat rapat cipta kerja hotel hasil putus ubah dewan wakil rakyat rakyat indonesia tirto,1
345,@LILApama2011,"Sebelumnya, DPR RI dan pemerintah akhirnya menyepakati Rancangan Undang-Undang (RUU) Cipta Kerja disahkan menjadi Undang-Undang Cipta Kerja.

Waspada Korona
#KAMIFPISampahNKRI",dewan wakil rakyat rakyat indonesia perintah pakat rancang undang undang rancang undang undang cipta kerja sah undang undang cipta kerja waspada corona,1
348,@Boaz_45,"Disatu sisi, Presiden berfikir RUU Cipta Kerja bermanfaat untuk rakyat Indonesia terutama para fresh graduate. Membuka lapangan kerja, mengurangi pengangguran, menaikan devisa negara, dll.
Tapi disisi lain, para oknum memanfaatkan kesempatan emas ini unt kepentingan diri sendiri.",satu sisi presiden pikir rancang undang undang cipta kerja manfaat rakyat indonesia fresh graduate buka lapang kerja kurang anggur naik devisa negara dll sisi oknum manfaat sempat emas penting,1
349,@jenk__kelin,"#OmnibusLawTaatProsedural

Buat yang pengen ngerti tahapan penyusunan RUU Cipta Kerja, yukk simak dikit ulasan ini.",ken erti tahap susun rancang undang undang cipta kerja ayo simak ulas,1
350,@Liz3b3d,"Ratas Presiden : RUU OBL Cipta Kerja masuk Tahap Finalisasi 15 Januari 2020

#OmnibusLawTaatProsedural",rapat batas presiden rancang undang undang omnibus law cipta kerja masuk tahap final januari,1
351,@denni_loyz,"Seperti yang dikatakan Menteri Koordinator bidang Perekonomian 
@airlangga_hrt
, Seluruh proses pembahasan RUU Cipta Kerja dudah secara transparan dan terbuka. 
@PerekonomianRI
#OmnibusLawTransparan",menteri koordinator bidang ekonomi proses bahas rancang undang undang cipta kerja duda transparan buka,1
352,@Mahadewi68,"Semangat utama RUU Cipta Kerja adalah menciptakan lapangan kerja untuk masyarakat yang belum mendapat pekerjaan.
#OmnibusLawUntungkanBuruhRUU Cipta Kerja Bantu Masyarakat Mencari Pekerjaan
Pemerintah mengatakan hadirnya RUU Cipta Kerja yang telah disahkan menjadi Undang-Undang membantu masyarakat mencari pekerjaan.
correcto.id",semangat utama rancang undang undang cipta kerja cipta lapang kerja masyarakat kerja cipta kerja bantu masyarakat cari kerja perintah hadir rancang undang undang cipta kerja sah undang undang bantu masyarakat cari kerja koreksi,1
353,@jambu123D,Maman Abdurahman menyatakan adanya stakeholder tidak dilibatkan dalam proses pembentukan dan pembahasan RUU cipta kerja tidak benar #OmnibusLawTransparan,maman abdurahman stakeholder libat proses bentuk bahas rancang undang undang cipta kerja,1
354,@RicKY_KCh,"Soal UU Cipta Kerja, SBY: Kalau Masih Ada Konflik, Berarti Masih Ada Masalah
Kalau RUU masih ada masalah-masalah yang mungkin serius disahkan, hampir pasti begitu dijalankan nanti menimbulkan masalah yang lebih besar dan lebih luas.Soal UU Cipta Kerja, SBY: Kalau Masih Ada Konflik, Berarti Masih Ada Masalah
Menurut SBY, dalam pembuatan undang-undang, DPR dan pemerintah seharusnya membuka pintu dialog dan konsultasi bagi pihak-pihak yang menolaknya.
nasional.tempo.co",undang undang cipta kerja susilo bambang yudhoyono konflik rancang undang undang serius sah jalan timbul luas undang undang cipta kerja susilo bambang yudhoyono konflik susilo bambang yudhoyono buat undang undang dewan wakil rakyat perintah buka pintu dialog konsultasi tolak nasional tempo,0
355,@InfokomPMK,"Halo, Sobatkom! Beberapa waktu lalu muncul gelombang protes terhadap RUU Cipta Kerja. Banyak juga hoaks yang beredar tentang ketentuan dalam RUU ini, di antaranya mengenai upah minimum, cuti, outsourcing, dan jam kerja.
#RUUCiptaKerja
#omnibuslaw",halo sobat kom muncul gelombang protes rancang undang undang cipta kerja hoax edar tentu rancang undang undang upah minimum cuti outsourcing jam kerja,1
356,@DiniHrdianti,"Kemudian RUU CIPTA KERJA ditetapkan sbg Prolegnas Prioritas tahun 2020.

Dan 
@DPR_RI
 menetapkan RUU CIPTAKER sbg Program Legislasi Nasional (Prolegnas) Prioritas tahun 2020 di Rapat Paripurna pada 22 Januari 2020.

#OmnibusLawTaatProsedural",rancang undang undang cipta kerja tetap program legislatif nasional prioritas tahi tetap rancang undang undang cipta kerja program legislasi nasional program legislatif nasional prioritas tahi rapat paripurna januari,1
